time,speed_north,speed_east,speed_forward,speed_right,speed_up,North,East,Forward,Right,Altitude,Altitude_sensor,Heading,lat2,lat3
14:01:1626670909,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.76027985660104,37.503641666666354,37.503641666666354
14:01:1626670909,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.76027985660104,37.503641666666354,37.503641666666354
14:01:1626670909,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.76027985660104,37.503641666666354,37.503641666666354
14:01:1626670909,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.76027985660104,37.503641666666354,37.503641666666354
14:01:1626670909,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.76027985660104,37.503641666666354,37.503641666666354
14:01:1626670910,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.76027985660104,37.503641666666354,37.503641666666354
14:01:1626670910,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.76027985660104,37.503641666666354,37.503641666666354
14:01:1626670910,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.76027985660104,37.503641666666354,37.503641666666354
14:01:1626670910,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.76027985660104,37.503641666666354,37.503641666666354
14:01:1626670910,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.76266359262138,37.503641666666354,37.503641666666354
14:01:1626670910,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.76266359262138,37.503641666666354,37.503641666666354
14:01:1626670910,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.76266359262138,37.503641666666354,37.503641666666354
14:01:1626670910,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.76266359262138,37.503641666666354,37.503641666666354
14:01:1626670910,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.76266359262138,37.503641666666354,37.503641666666354
14:01:1626670910,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.76266359262138,37.503641666666354,37.503641666666354
14:01:1626670910,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.76266359262138,37.503641666666354,37.503641666666354
