time,speed_north,speed_east,speed_up,North,East,Altitude
16:08:1625814483,-0.0002903600689023733,0.016898542642593384,0.07137550413608551,-8.145241863016794e-05,0.0047404148055463224,0.020022406885384925
16:08:1625814483,-0.0002903600689023733,0.016898542642593384,0.07137550413608551,-8.735549419058852e-05,0.00508396539932221,0.021473484492823047
16:08:1625814483,-0.0048811109736561775,0.12043973058462143,0.6058708429336548,-0.00018542682711542025,0.007503841730610361,0.03364664782950655
16:08:1625814483,-0.0048811109736561775,0.12043973058462143,0.6058708429336548,-0.0002967776832508706,0.010251385719202588,0.047468139992311364
16:08:1625814483,-0.0048811109736561775,0.12043973058462143,0.6058708429336548,-0.00039452549435881057,0.012663279261188265,0.05960114598838828
16:08:1625814483,-0.0048811109736561775,0.12043973058462143,0.6058708429336548,-0.0004921546032173874,0.015072243866091739,0.07171941799618509
16:08:1625814483,-0.0048811109736561775,0.12043973058462143,0.6058708429336548,-0.0005898942680925279,0.017483936402591382,0.08385141283620356
16:08:1625814483,-0.0048811109736561775,0.12043973058462143,0.6058708429336548,-0.0006876129855118984,0.019895112067841225,0.0959808075606432
16:08:1625814483,-0.0048811109736561775,0.12043973058462143,0.6058708429336548,-0.000785087315947286,0.022300257568510062,0.10807986760332966
16:08:1625814483,-0.0048811109736561775,0.12043973058462143,0.6058708429336548,-0.000882850255773282,0.024712524406398373,0.12021475146065796
16:08:1625814483,-0.0048811109736561775,0.12043973058462143,0.6058708429336548,-0.0009802640713364452,0.027116176723456675,0.13230630005833888
16:08:1625814483,-0.0048811109736561775,0.12043973058462143,0.6058708429336548,-0.0010786449611076554,0.0295436912632141,0.14451788732524307
16:08:1625814483,-0.0048811109736561775,0.12043973058462143,0.6058708429336548,-0.001175594441401251,0.03193588626756849,0.15655180002759295
16:08:1625814483,-0.0048811109736561775,0.12043973058462143,0.6058708429336548,-0.001274651468494814,0.0343800842626667,0.16884731324734759
16:08:1625814483,-0.0048811109736561775,0.12043973058462143,0.6058708429336548,-0.001372253811159907,0.036788388420973206,0.1809622628852381
16:08:1625814483,-0.002927663503214717,0.06251361966133118,0.9254316091537476,-0.001431867999629688,0.03806131432257587,0.19980625035285726
16:08:1625814483,-0.002927663503214717,0.06251361966133118,0.9254316091537476,-0.0014903681651409206,0.039310452788413386,0.2182980962379375
16:08:1625814483,-0.002927663503214717,0.06251361966133118,0.9254316091537476,-0.0015488390142585073,0.04055896526909919,0.2367806752392667
16:08:1625814483,-0.002927663503214717,0.06251361966133118,0.9254316091537476,-0.0016076483979217682,0.041814706387846456,0.25537026468391133
16:08:1625814483,-0.002927663503214717,0.06251361966133118,0.9254316091537476,-0.001665934274555636,0.04305926920031311,0.27379437406157336
16:08:1625814483,-0.002927663503214717,0.06251361966133118,0.9254316091537476,-0.001724791820865601,0.044316038723238194,0.2923991876723804
16:08:1625814483,-0.002927663503214717,0.06251361966133118,0.9254316091537476,-0.0017831544785304465,0.045562241020626004,0.3108475674598665
16:08:1625814483,-0.002927663503214717,0.06251361966133118,0.9254316091537476,-0.0018417104847914811,0.046812571839133454,0.32935706455209157
16:08:1625814483,0.0014998052502050996,-0.008031326346099377,0.9453996419906616,-0.0018099994478235626,0.04664276200107098,0.34934606178524774
16:08:1625814483,0.0014998052502050996,-0.008031326346099377,0.9453996419906616,-0.0017796493658036594,0.046480239958092806,0.3684771834239271
16:08:1625814483,0.0014998052502050996,-0.008031326346099377,0.9453996419906616,-0.0017496979870856577,0.04631985293653318,0.38735698312675737
16:08:1625814483,0.0014998052502050996,-0.008031326346099377,0.9453996419906616,-0.001719707274409621,0.04615925528505782,0.40626157692191356
16:08:1625814483,0.0014998052502050996,-0.008031326346099377,0.9453996419906616,-0.001689657918377968,0.04599834360352628,0.4252031364547193
16:08:1625814483,0.0014998052502050996,-0.008031326346099377,0.9453996419906616,-0.0016596797210522152,0.045837812970660474,0.44409984122049906
16:08:1625814483,0.0014998052502050996,-0.008031326346099377,0.9453996419906616,-0.0016296932993534186,0.045677238296994105,0.46300173020558333
16:08:1625814483,0.0014998052502050996,-0.008031326346099377,0.9453996419906616,-0.0015992180638306763,0.04551404606792042,0.482211742138027
16:08:1625814483,0.0014998052502050996,-0.008031326346099377,0.9453996419906616,-0.0015695334408644401,0.045355087500152935,0.5009233928147196
16:08:1625814483,0.0014998052502050996,-0.008031326346099377,0.9453996419906616,-0.0015390317443153834,0.04519175357459049,0.5201500844092735
16:08:1625814484,0.0014998052502050996,-0.008031326346099377,0.9453996419906616,-0.0015075352562094746,0.04502309262697746,0.5400038411388337
16:08:1625814484,0.002312023425474763,-0.030942965298891068,0.954807460308075,-0.001461390745703478,0.0444055175749305,0.5590603621056758
16:08:1625814484,0.002312023425474763,-0.030942965298891068,0.954807460308075,-0.0013954956879470293,0.043523611075601876,0.5862733617881375
16:08:1625814484,0.002312023425474763,-0.030942965298891068,0.954807460308075,-0.001349224394692844,0.042904339226656374,0.6053822408377201
16:08:1625814484,0.002312023425474763,-0.030942965298891068,0.954807460308075,-0.0013029508965212988,0.04228503786819959,0.6244920304626547
16:08:1625814484,0.002312023425474763,-0.030942965298891068,0.954807460308075,-0.0012561019149188446,0.04165803452729899,0.6438394802544636
